Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,85.82,22.15,39.45,-0.20
0.00:0.00,85.69,22.25,42.61,-0.20
0.00:0.00,85.57,22.19,42.71,-0.20
0.00:0.00,85.44,22.11,44.04,-0.21
0.00:0.00,85.31,22.01,43.21,-0.21
0.00:0.00,85.18,22.10,45.57,-0.21
0.00:0.00,85.06,22.20,41.16,-0.22
0.00:0.00,84.95,22.27,39.47,-0.22
0.00:0.00,84.84,22.22,37.49,-0.23
0.00:0.00,84.71,22.02,41.99,-0.22
0.00:0.00,84.58,21.97,44.94,-0.22
0.00:0.00,84.45,22.08,44.86,-0.22
0.00:0.00,84.33,22.09,41.76,-0.22
0.00:0.00,84.20,21.97,44.72,-0.21
0.00:0.00,84.08,22.10,41.71,-0.21
0.00:0.00,83.96,22.19,38.06,-0.22
0.00:0.00,83.85,22.14,37.54,-0.21
0.00:0.00,83.73,21.96,43.47,-0.19
0.00:0.00,83.60,21.95,44.84,-0.19
0.00:0.00,83.47,22.15,41.77,-0.19
0.00:0.00,83.36,22.11,39.51,-0.19
0.00:0.00,83.24,22.02,41.85,-0.18
0.00:0.00,83.10,21.75,48.00,-0.17
0.00:0.00,82.97,22.09,42.22,-0.19
0.00:0.00,82.85,22.05,41.60,-0.19
0.00:0.00,82.73,22.01,40.35,-0.19
0.00:0.00,82.61,21.86,42.60,-0.18
0.00:0.00,82.48,21.95,44.86,-0.18
0.00:0.00,82.36,22.06,40.53,-0.19
0.00:0.00,82.24,22.02,39.30,-0.19
0.00:0.00,82.11,21.90,44.50,-0.18
0.00:0.00,81.98,21.90,45.41,-0.17
0.00:0.00,81.85,21.93,43.55,-0.17
0.00:0.00,81.73,21.90,43.47,-0.17
0.00:0.00,81.60,21.91,44.88,-0.17
0.00:0.00,81.47,21.89,41.35,-0.18
0.00:0.00,81.36,22.02,39.81,-0.18
0.00:0.00,81.25,22.13,35.96,-0.18
0.00:0.00,81.13,21.92,40.81,-0.17
0.00:0.00,81.00,21.74,45.65,-0.17
0.00:0.00,80.87,21.90,43.77,-0.17
0.00:0.00,80.75,21.88,42.67,-0.17
0.00:0.00,80.62,21.96,41.93,-0.17
0.00:0.00,80.51,21.94,39.70,-0.17
0.00:0.00,80.39,21.85,39.92,-0.17
0.00:0.00,80.26,21.83,44.03,-0.16
0.00:0.00,80.15,21.92,39.64,-0.17
0.00:0.00,80.03,21.91,39.56,-0.16
0.00:0.00,79.91,21.84,41.15,-0.16
